frequency_thz,vdos
0.000000000000e+00,0.000000000000e+00
2.441406250000e-01,4.920333881986e+02
4.882812500000e-01,5.582045766364e+02
7.324218750000e-01,6.778519732290e+02
9.765625000000e-01,1.359004915543e+03
1.220703125000e+00,1.409591502459e+03
1.464843750000e+00,1.635167951064e+03
1.708984375000e+00,3.046922563638e+03
1.953125000000e+00,5.915597367821e+03
2.197265625000e+00,5.805878805522e+03
2.441406250000e+00,2.061060955315e+04
2.685546875000e+00,5.953431771799e+04
2.929687500000e+00,1.816160337842e+04
3.173828125000e+00,1.119673897440e+04
3.417968750000e+00,3.975574817285e+04
3.662109375000e+00,1.367868311992e+05
3.906250000000e+00,3.992092556816e+04
4.150390625000e+00,2.093498323553e+04
4.394531250000e+00,1.111931684533e+05
4.638671875000e+00,6.615659278007e+04
4.882812500000e+00,2.096251700452e+04
5.126953125000e+00,6.949688030103e+04
5.371093750000e+00,1.694766060452e+05
5.615234375000e+00,1.985416434840e+05
5.859375000000e+00,6.091924791529e+04
6.103515625000e+00,2.400734869967e+04
6.347656250000e+00,3.208394836808e+04
6.591796875000e+00,8.891655238237e+04
6.835937500000e+00,5.783406566659e+04
7.080078125000e+00,4.923488696557e+04
7.324218750000e+00,8.913442520894e+04
7.568359375000e+00,2.974340009320e+04
7.812500000000e+00,3.600105065912e+04
8.056640625000e+00,1.829835803217e+04
8.300781250000e+00,1.821780190176e+04
8.544921875000e+00,8.628315529097e+03
8.789062500000e+00,5.311248512179e+03
9.033203125000e+00,5.283446509799e+03
9.277343750000e+00,6.253117594337e+03
9.521484375000e+00,2.857427108027e+03
9.765625000000e+00,3.137060302969e+03
1.000976562500e+01,2.863730251823e+03
1.025390625000e+01,2.214776498419e+03
1.049804687500e+01,1.733657926001e+03
1.074218750000e+01,2.102144562096e+03
1.098632812500e+01,2.660139049789e+03
1.123046875000e+01,2.456841739952e+03
1.147460937500e+01,1.446162653956e+03
1.171875000000e+01,9.491911682036e+02
1.196289062500e+01,1.198641077107e+03
1.220703125000e+01,1.225635365924e+03
1.245117187500e+01,7.572677827003e+02
1.269531250000e+01,7.541929692615e+02
1.293945312500e+01,8.166241795932e+02
1.318359375000e+01,6.376383840887e+02
1.342773437500e+01,5.994932082738e+02
1.367187500000e+01,4.653830391212e+02
1.391601562500e+01,3.747466502488e+02
1.416015625000e+01,3.278106882537e+02
1.440429687500e+01,2.824669308963e+02
1.464843750000e+01,2.455764265997e+02
1.489257812500e+01,2.512165005084e+02
1.513671875000e+01,2.003258373470e+02
1.538085937500e+01,1.769696643176e+02
1.562500000000e+01,1.673132278646e+02
1.586914062500e+01,1.276771224756e+02
1.611328125000e+01,1.365593290418e+02
1.635742187500e+01,1.295112075883e+02
1.660156250000e+01,1.243352286618e+02
1.684570312500e+01,1.210663034245e+02
1.708984375000e+01,1.085722537583e+02
1.733398437500e+01,8.921652425483e+01
1.757812500000e+01,1.058161349546e+02
1.782226562500e+01,8.434126908294e+01
1.806640625000e+01,9.503944128912e+01
1.831054687500e+01,8.670774188882e+01
1.855468750000e+01,7.941678941073e+01
1.879882812500e+01,6.328450496480e+01
1.904296875000e+01,6.193850456128e+01
1.928710937500e+01,5.651282037817e+01
1.953125000000e+01,5.365802637612e+01
1.977539062500e+01,5.502414321369e+01
2.001953125000e+01,4.992168615592e+01
2.026367187500e+01,4.667041869554e+01
2.050781250000e+01,5.210355120608e+01
2.075195312500e+01,4.611265440055e+01
2.099609375000e+01,4.134495598182e+01
2.124023437500e+01,3.800630449001e+01
2.148437500000e+01,3.717930990414e+01
2.172851562500e+01,3.748193849044e+01
2.197265625000e+01,3.401967976079e+01
2.221679687500e+01,3.473058744779e+01
2.246093750000e+01,3.588797112400e+01
2.270507812500e+01,3.058469027700e+01
2.294921875000e+01,2.913055847042e+01
